Fecha;PM2.5(µg/m³);Xileno(µg/m³);SO2(µg/m³);CO(mg/m³);NO(µg/m³);NO2(µg/m³);PM10(µg/m³);NOx(µg/m³);Ozono(µg/m³);Tolueno(µg/m³);Benceno(µg/m³);Ruido(dBA)
2014-09-22;6;;6;0.3;12;38;10;56;40;;;61
2014-09-28;10;;3;0.2;4;20;11;25;81;;;61
2014-09-30;9;;5;0.2;24;39;11;75;45;;;61
2014-10-02;9;;4;0.2;29;51;13;95;38;;;63
2014-10-08;8;;6;0.3;41;63;20;125;24;;;61
2014-10-09;8;;6;0.2;13;40;15;60;41;;;60
2014-10-18;11;;5;0.3;32;52;16;100;26;;;62
2014-10-23;11;3.4;7;0.4;54;75;31;158;21;7.4;1.6;60
2014-10-27;10;0.2;6;0.3;21;43;18;75;45;5.0;1.0;62
2014-10-28;15;0.4;6;0.4;29;51;22;96;33;4.8;1.1;62
2014-10-29;19;0.2;5;0.4;35;55;26;108;30;5.3;1.1;62
2014-10-30;23;1.0;4;0.3;30;58;31;103;20;5.3;1.1;63
2014-11-03;12;2.4;6;0.3;28;47;27;90;29;4.3;0.7;61
2014-11-08;7;0.3;5;0.2;18;35;21;62;43;1.6;0.4;61
2014-11-09;3;0.2;5;0.2;9;30;5;44;53;0.2;0.3;61
2014-11-10;7;;5;0.4;33;52;15;102;25;;;61
2014-11-16;3;;4;0.3;5;16;6;24;68;;;59
2014-11-19;12;;6;0.5;53;60;19;142;17;;;62
2014-11-24;15;;5;0.3;29;41;28;85;18;;;63
2014-11-28;11;;4;0.4;55;60;17;145;18;;;64
2014-12-03;7;;5;0.3;33;44;24;94;17;;;60
2014-12-05;8;;6;0.4;36;46;28;101;16;;;61
2014-12-07;3;;5;0.4;14;31;8;53;62;;;58
2014-12-12;10;;4;0.5;74;58;25;171;18;;;62
2014-12-17;8;;7;0.5;48;53;26;126;26;;;62
2014-12-18;10;;6;0.6;75;58;28;172;13;;;63
2014-12-23;15;;6;0.5;77;66;27;183;9;;;64
2014-12-25;14;;5;0.3;32;41;20;90;19;;;62
2014-12-26;10;;7;0.5;82;65;22;191;11;;;63
2014-12-27;8;;3;0.3;16;29;19;54;25;;;62
2014-12-30;;;7;0.6;71;64;;173;21;;;59
2015-01-07;22;;6;0.6;89;74;37;210;8;;;64
2015-01-08;26;;6;0.4;69;61;36;167;11;;;63
2015-01-11;9;;7;0.6;58;56;20;144;21;;;60
2015-01-12;13;;5;0.5;56;60;23;145;14;;;62
2015-01-14;15;;4;0.5;38;54;32;112;20;;;62
2015-01-17;7;;5;0.4;21;39;17;71;43;;;59
2015-01-19;6;;6;0.5;40;48;8;108;18;;;64
2015-01-25;5;;4;0.6;29;42;16;87;59;;;58
2015-01-27;16;;5;0.3;37;46;61;103;23;;;59
2015-01-29;18;;4;0.2;17;31;63;56;35;;;61
2015-01-30;14;;4;0.2;5;11;87;18;55;;;67
2015-02-01;4;;3;;4;16;8;22;73;;;59
2015-02-06;;;3;0.2;20;40;;71;43;;;
2015-02-08;;;6;0.6;16;33;;57;40;;;
2015-02-10;;;4;0.4;36;58;;113;37;;;
2015-02-13;14;;4;0.5;40;52;28;113;22;;;63
2015-02-14;8;;4;0.3;11;26;16;43;54;;;62
2015-02-19;20;;7;0.6;32;54;27;102;47;;;63
2015-02-20;20;;5;0.6;27;57;26;98;41;;;63
2015-02-22;4;;5;0.4;8;29;12;41;73;;;61
2015-02-23;7;;5;0.5;12;26;19;43;45;;;61
2015-03-01;7;;4;0.2;11;29;11;45;43;;;60
2015-03-06;11;;4;0.2;36;64;23;118;31;;;61
2015-03-08;20;;3;0.2;13;45;26;65;55;;;63
2015-03-09;22;;4;0.2;36;67;30;122;35;;;63
2015-03-10;25;;5;0.2;39;66;37;126;40;;;62
2015-03-13;29;;4;0.3;21;56;38;87;66;;;64
2015-03-16;13;;3;0.3;27;48;17;89;48;;;65
2015-03-19;21;;3;0.2;2;13;24;14;109;;;72
2015-03-28;5;;3;0.3;20;38;8;67;43;;;60
2015-04-02;9;;3;0.2;18;43;14;71;42;;;62
2015-04-08;5;;3;0.2;8;25;8;36;98;;;61
2015-04-09;6;;4;0.2;7;26;8;35;96;;;61
2015-04-11;14;;3;0.2;8;31;17;43;69;;;63
2015-04-13;10;;3;0.1;4;23;13;28;98;;;61
2015-04-14;12;;3;0.2;21;40;16;71;53;;;61
2015-04-23;21;;7;0.3;24;35;29;70;43;;;62
2015-04-24;30;;7;0.2;13;32;37;51;45;;;62
2015-04-27;3;;4;0.3;5;14;11;21;75;;;59
2015-04-28;7;;4;0.3;12;25;14;43;50;;;60
2015-05-05;8;;3;0.2;8;23;20;34;46;;;59
2015-05-07;13;;4;0.3;7;22;18;32;44;;;61
2015-05-08;14;;6;0.3;14;46;35;66;55;;;60
2015-05-16;4;;5;0.1;10;38;8;53;69;;;59
2015-05-21;4;;4;0.1;17;43;6;68;;;;60
2015-05-22;7;;5;0.2;17;45;9;71;;;;61
2015-05-24;7;;3;0.1;7;36;9;47;;;;60
2015-06-01;11;;4;0.2;12;35;13;53;;;;61
2015-06-09;15;;5;0.3;22;53;20;87;;;;60
2015-06-10;16;;3;0.3;12;35;20;53;;;;60
2015-06-17;12;;7;0.2;25;54;18;93;;;;61
2015-06-18;11;;6;0.1;23;52;19;86;;;;61
2015-06-21;12;;4;0.2;7;31;16;41;;;;60
2015-06-27;14;;3;;9;42;21;55;55;;;60
2015-06-29;11;;5;;9;32;17;45;63;;;60
2015-06-30;10;;5;;17;49;18;75;59;;;59
2015-07-03;11;;4;;6;26;16;34;;;;61
2015-07-05;15;;3;;5;30;20;36;;;;59
2015-07-10;15;;5;;14;35;24;56;;;;61
2015-07-13;14;;3;;13;36;21;55;;;;62
2015-07-15;13;;4;;12;34;19;52;;;;61
2015-07-20;20;;4;0.1;15;30;25;53;;;;63
2015-07-23;10;;4;0.1;18;42;14;70;;;;63
2015-07-25;13;;4;0.1;6;22;18;30;;;;61
2015-07-26;16;;5;0.1;4;18;20;24;;;;62
2015-07-31;7;;3;0.1;12;34;10;52;;;;63
2015-08-07;11;;6;0.1;10;34;14;49;;;;61
2015-08-11;11;;4;0.2;9;29;14;42;;;;60
2015-08-19;4;;3;0.2;5;22;5;30;;;;60
2015-08-22;6;;4;0.2;5;22;7;29;;;;59
2015-08-25;5;;3;0.2;10;30;11;46;74;;;58
2015-08-27;4;;4;0.1;13;30;7;49;57;;;61
2015-08-31;12;;4;0.2;15;34;16;56;43;;;62
2015-09-06;5;;4;0.2;5;27;5;35;66;;;62
2015-09-08;7;;4;0.1;17;42;7;69;48;;;64
2015-09-09;6;;6;0.2;21;48;8;81;50;;;61
2015-09-13;6;;4;0.1;4;22;8;28;69;;;59
2015-09-14;4;;3;0.1;10;28;13;43;64;;;59
2015-09-22;32;;3;0.4;32;50;40;99;54;;;61
2015-09-23;31;;7;0.2;22;48;44;82;45;;;60
2015-09-25;24;;3;0.3;25;56;36;95;40;;;61
2015-09-27;26;;4;0.3;11;37;30;54;42;;;58
2015-10-08;26;;3;0.3;33;50;35;100;28;;;62
2015-10-09;18;;3;0.2;11;37;21;53;43;;;61
2015-10-10;25;;3;0.2;12;37;29;54;45;;;61
2015-10-14;28;;4;0.2;31;52;38;99;32;;;64
2015-10-18;29;;3;0.3;7;35;33;46;60;;;60
2015-10-21;29;;5;0.3;30;48;39;94;25;;;62
2015-10-22;34;;3;0.2;34;54;47;105;30;;;62
2015-10-23;42;;3;0.3;51;65;54;144;14;;;62
2015-10-24;38;;3;0.3;22;53;42;87;26;;;62
2015-10-25;31;;3;0.2;7;31;34;42;48;;;62
2015-10-26;30;;4;0.2;33;50;35;100;42;;;64
2015-10-28;17;;5;0.1;18;32;27;59;51;;;62
2015-11-03;18;;4;0.2;39;54;24;114;19;;;61
2015-11-04;21;;4;0.2;50;54;26;130;19;;;62
2015-11-08;40;;5;0.2;15;45;43;68;26;;;61
2015-11-18;20;4.9;5;0.4;79;64;42;184;8;10.4;4.2;62
2015-11-20;17;3.3;4;0.2;44;46;62;113;17;6.5;3.1;61
2015-11-24;14;3.1;5;0.4;64;63;47;161;20;7.2;3.5;59
2015-11-25;17;1.7;3;0.2;30;43;80;89;33;4.3;1.7;60
2015-11-28;7;2.4;3;0.3;44;56;18;124;18;5.6;2.8;60
2015-12-11;24;3.9;7;0.3;69;64;40;171;6;9.3;4.2;65
2015-12-17;33;5.3;4;0.3;95;64;60;209;5;14.1;5.2;63
2015-12-23;46;4.0;4;0.3;76;65;76;182;8;10.4;4.7;64
2015-12-26;;2.1;3;0.3;26;48;;89;29;3.7;3.0;62
2015-12-28;29;2.6;4;0.4;61;66;33;159;23;9.5;4.4;63
2015-12-30;34;2.2;4;0.3;40;48;72;109;22;6.2;3.8;62
2015-12-31;10;1.3;3;0.2;13;33;28;53;37;2.8;1.7;61
2016-01-01;13;1.9;5;0.4;16;39;16;63;23;3.4;2.6;62
2016-01-10;10;0.4;3;0.2;3;10;49;14;;0.4;0.3;61
2016-01-17;9;1.3;3;0.4;25;41;18;80;45;3.1;3.0;58
2016-01-19;12;;4;0.3;46;57;36;126;19;;;59
2016-01-22;26;;5;0.3;45;54;34;123;11;;;62
2016-01-23;22;;5;0.2;46;51;28;122;6;;;63
2016-01-24;;;4;0.1;26;35;;74;21;;;63
2016-01-26;30;4.5;3;0.3;40;60;37;120;12;9.8;4.7;63
2016-01-28;21;4.6;3;0.2;39;58;37;119;17;8.0;4.2;63
2016-01-30;15;2.2;3;0.2;18;42;17;69;23;3.8;2.7;62
2016-01-31;8;1.2;3;0.2;7;25;15;36;38;1.9;1.4;60
2016-02-01;10;3.5;4;0.3;49;56;41;131;17;10.0;3.8;62
2016-02-03;15;4.1;4;0.2;44;54;32;121;19;19.1;3.5;62
2016-02-07;9;0.5;4;0.2;3;12;44;15;77;10.0;0.6;64
2016-02-14;3;0.4;3;0.3;3;12;23;16;75;0.8;0.5;64
2016-02-17;12;1.6;4;0.3;27;45;86;86;37;9.1;2.6;59
2016-02-18;7;1.7;3;0.3;24;44;21;80;41;10.5;2.4;59
2016-02-19;8;1.8;4;0.3;40;60;22;121;25;11.3;2.8;59
2016-02-22;17;3.2;3;0.4;40;66;65;127;27;7.4;3.5;60
2016-02-24;19;2.2;4;0.2;22;39;115;72;44;6.7;2.4;61
2016-02-26;9;1.1;4;0.2;21;41;51;73;44;3.9;2.0;60
2016-03-02;10;2.1;3;0.2;21;44;75;76;39;5.6;2.2;59
2016-03-10;5;;3;0.4;35;55;24;108;43;;;60
2016-03-13;14;1.8;3;0.2;11;34;25;51;61;2.4;2.1;62
2016-03-15;13;1.9;3;0.2;9;35;18;48;66;2.8;1.9;64
2016-03-18;21;3.2;3;0.2;15;46;42;69;56;2.8;3.0;64
2016-03-21;17;2.0;3;0.2;11;33;21;50;63;3.0;1.6;64
2016-03-24;10;2.3;4;0.3;10;43;18;58;59;2.2;1.3;59
2016-03-27;5;1.4;3;0.2;4;16;31;21;64;0.7;0.5;59
2016-03-28;3;1.1;3;0.1;4;17;10;24;62;0.8;0.6;58
2016-03-31;22;4.0;4;0.1;12;29;127;48;61;2.3;1.6;
2016-04-02;8;2.6;3;0.1;14;42;22;64;52;2.9;1.2;60
2016-04-03;9;2.6;4;0.1;8;37;16;49;61;2.5;1.3;60
2016-04-05;5;2.7;3;0.1;22;43;8;77;32;3.4;1.0;67
2016-04-08;3;1.0;3;0.2;20;43;16;73;56;2.7;1.1;61
2016-04-10;8;2.7;3;0.1;10;42;13;58;57;2.6;1.2;60
2016-04-13;10;1.2;3;0.1;10;24;92;39;72;1.3;0.6;61
